file,class,vertices,triangles,edge_var,minx,miny,minz,maxx,maxy,maxz
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1337.obj,AircraftBuoyant,4840,9676,6.986682682982182e-06,-0.5195689797401428,-0.49798598885536194,-0.5114719867706299,0.43734198808670044,0.49468499422073364,0.4885280132293701
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1338.obj,AircraftBuoyant,4827,9650,2.0017935891072575e-05,-0.47695499658584595,-0.49846500158309937,-0.49705299735069275,0.4055060148239136,0.5015349984169006,0.4959459900856018
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1339.obj,AircraftBuoyant,4958,9912,5.381925629338341e-06,-0.43716099858283997,-0.2960140109062195,-0.2779020071029663,0.5628389716148376,0.2932470142841339,0.287649005651474
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1340.obj,AircraftBuoyant,4890,9776,7.95154526049086e-06,-0.5141310095787048,-0.4653240144252777,-0.4201120138168335,0.48586899042129517,0.4216710031032562,0.4366520047187805
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1341.obj,AircraftBuoyant,4887,9770,4.6975935925195516e-06,-0.4131450057029724,-0.34155499935150146,-0.5527399778366089,0.42589500546455383,0.3409320116043091,0.4472599923610687
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1342.obj,AircraftBuoyant,4883,9762,1.192897375594187e-05,-0.5436519980430603,-0.36178499460220337,-0.3942509889602661,0.4563480019569397,0.3779990077018738,0.370373010635376
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1343.obj,AircraftBuoyant,4888,9772,9.406833924311829e-06,-0.4999929964542389,-0.4983710050582886,-0.499114990234375,0.5000069737434387,0.4986090064048767,0.49805501103401184
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1344.obj,AircraftBuoyant,4926,9848,5.768923580900273e-06,-0.3820050060749054,-0.39835700392723083,-0.5998889803886414,0.4151189923286438,0.40155500173568726,0.40011098980903625
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1345.obj,AircraftBuoyant,4944,9884,4.612649532843189e-06,-0.3784239888191223,-0.49957600235939026,-0.34421899914741516,0.34968098998069763,0.5004240274429321,0.4098449945449829
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1346.obj,AircraftBuoyant,4879,9754,1.6763971953073483e-06,-0.49796199798583984,-0.14172999560832977,-0.13187099993228912,0.5020380020141602,0.16994500160217285,0.13190700113773346
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1347.obj,AircraftBuoyant,4926,9848,2.0507214731045476e-06,-0.5329380035400391,-0.18541400134563446,-0.1550530046224594,0.46706199645996094,0.18577100336551666,0.1542460024356842
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1348.obj,AircraftBuoyant,4843,9682,2.378334519589002e-06,-0.4105449914932251,-0.5003460049629211,-0.16033999621868134,0.4101479947566986,0.49965399503707886,0.16435900330543518
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1349.obj,AircraftBuoyant,4898,9792,1.6860183370277255e-06,-0.4979499876499176,-0.1286740005016327,-0.12719400227069855,0.50204998254776,0.12662899494171143,0.1265850067138672
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1350.obj,AircraftBuoyant,4846,9688,1.2258174780705363e-05,-0.4694400131702423,-0.42698198556900024,-0.3775649964809418,0.5305600166320801,0.42013201117515564,0.3812420070171356
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1351.obj,AircraftBuoyant,4894,9784,7.811613861165421e-06,-0.4429219961166382,-0.5052289962768555,-0.360491007566452,0.408145010471344,0.49477100372314453,0.35418999195098877
normalized_ShapeDatabase_INFOMR-master\AircraftBuoyant\m1352.obj,AircraftBuoyant,4900,9796,2.335661272992704e-06,-0.4801430106163025,-0.1671999990940094,-0.1674010008573532,0.5198569893836975,0.167603000998497,0.16733799874782562
normalized_ShapeDatabase_INFOMR-master\Apartment\D00045.obj,Apartment,4941,9878,8.751235392564491e-06,-0.5133669972419739,-0.4458949863910675,-0.045052800327539444,0.4866330027580261,0.4394510090351105,0.047093700617551804
normalized_ShapeDatabase_INFOMR-master\Apartment\D00086.obj,Apartment,4859,9714,8.632967946564197e-06,-0.4755690097808838,-0.4688670039176941,-0.5004379749298096,0.49718600511550903,0.46627599000930786,0.49956199526786804
normalized_ShapeDatabase_INFOMR-master\Apartment\D00156.obj,Apartment,4858,9720,3.2195235837818177e-06,-0.5396919846534729,-0.22334900498390198,-0.34632301330566406,0.4603079855442047,0.11802799999713898,0.40378499031066895
normalized_ShapeDatabase_INFOMR-master\Apartment\D00310.obj,Apartment,4832,9660,6.2303009172352745e-06,-0.4432680010795593,-0.47916799783706665,-0.2068129926919937,0.5567319989204407,0.4828290045261383,0.21675099432468414
normalized_ShapeDatabase_INFOMR-master\Apartment\D00348.obj,Apartment,4935,9866,1.4849815626231014e-06,-0.07288070023059845,-0.5893840193748474,-0.1764249950647354,0.09254830330610275,0.410616010427475,0.32513201236724854
normalized_ShapeDatabase_INFOMR-master\Apartment\D00366.obj,Apartment,4865,9726,4.0008424604735385e-05,-0.5049390196800232,-0.33431699872016907,-0.3957880139350891,0.4950610101222992,0.35372400283813477,0.42289799451828003
normalized_ShapeDatabase_INFOMR-master\Apartment\D00478.obj,Apartment,5180,9975,5.610993823188866e-07,-0.24937500059604645,-0.41439199447631836,-0.2169959992170334,0.2212419956922531,0.5856080055236816,0.18132099509239197
normalized_ShapeDatabase_INFOMR-master\Apartment\D00496.obj,Apartment,4832,9660,6.381150852067739e-06,-0.5030289888381958,-0.4303619861602783,-0.16332599520683289,0.4969710111618042,0.44628700613975525,0.17069600522518158
normalized_ShapeDatabase_INFOMR-master\Apartment\D00626.obj,Apartment,4850,9696,5.354798922765947e-05,-0.5094540119171143,-0.2142769992351532,-0.05676740035414696,0.49054598808288574,0.21427799761295319,0.053975701332092285
normalized_ShapeDatabase_INFOMR-master\Apartment\D00639.obj,Apartment,4941,9878,5.733017456768697e-06,-0.4805690050125122,-0.31144100427627563,-0.21633200347423553,0.5194309949874878,0.33724498748779297,0.21209299564361572
normalized_ShapeDatabase_INFOMR-master\Apartment\D00651.obj,Apartment,4811,9618,4.222296253493965e-06,-0.5495650172233582,-0.5385640263557434,-0.14544199407100677,0.45043501257896423,0.38241198658943176,0.18820199370384216
normalized_ShapeDatabase_INFOMR-master\Apartment\D00780.obj,Apartment,4867,9730,2.2897675640868484e-07,-0.552931010723114,-0.008744549937546253,-0.020094700157642365,0.447068989276886,0.010781499557197094,0.025690199807286263
normalized_ShapeDatabase_INFOMR-master\Apartment\D00792.obj,Apartment,4955,9906,1.0004507911222059e-05,-0.5130029916763306,-0.352508008480072,-0.5008100271224976,0.4669640064239502,0.4720880091190338,0.49919000267982483
normalized_ShapeDatabase_INFOMR-master\Apartment\D00859.obj,Apartment,4908,9812,2.97881821201565e-06,-0.49842000007629395,-0.2000340074300766,-0.1051189973950386,0.501579999923706,0.23470500111579895,0.11016400158405304
normalized_ShapeDatabase_INFOMR-master\Apartment\D00860.obj,Apartment,4914,9441,5.722617206595646e-07,-0.10109599679708481,-0.3698970079421997,-0.20678499341011047,0.11058899760246277,0.6301029920578003,0.11982999742031097
normalized_ShapeDatabase_INFOMR-master\Apartment\D00869.obj,Apartment,4834,9664,3.5176300405874016e-07,-0.4338110089302063,-0.0577550008893013,-0.05959349870681763,0.5661889910697937,0.06744460016489029,0.04591149836778641
normalized_ShapeDatabase_INFOMR-master\Apartment\D00921.obj,Apartment,4916,9828,1.070624363394828e-05,-0.44636398553848267,-0.3290500044822693,-0.3141309916973114,0.5536360144615173,0.32816898822784424,0.2891719937324524
