,Precision,Recall
AircraftBuoyant,0.08,0.15
Apartment,0.06999999999999999,0.1909090909090909
AquaticAnimal,0.18,0.18620689655172415
Bed,0.16333333333333336,0.18846153846153843
Bicycle,0.29333333333333333,0.676923076923077
Biplane,0.25999999999999995,0.20526315789473687
Bird,0.24333333333333335,0.1659090909090909
Bookset,0.12333333333333334,0.20555555555555557
Bottle,0.24666666666666667,0.2387096774193548
BuildingNonResidential,0.08333333333333333,0.060975609756097573
Bus,0.056666666666666664,0.14166666666666666
Car,0.38,0.15200000000000002
Cellphone,0.24000000000000005,0.3789473684210526
Chess,0.33333333333333337,0.26315789473684204
City,0.056666666666666664,0.0894736842105263
ClassicPiano,0.09,0.16875
Computer,0.19,0.18387096774193548
ComputerKeyboard,0.18333333333333332,0.28947368421052627
Cup,0.23666666666666666,0.23666666666666666
DeskLamp,0.18333333333333332,0.18333333333333332
DeskPhone,0.06666666666666667,0.125
Door,0.19666666666666666,0.1340909090909091
Drum,0.09666666666666666,0.14500000000000002
Fish,0.3633333333333334,0.545
FloorLamp,0.13333333333333336,0.14814814814814814
Glasses,0.4766666666666667,0.7150000000000001
Guitar,0.14666666666666667,0.2588235294117647
Gun,0.38333333333333336,0.20909090909090913
Hand,0.29,0.23513513513513518
Hat,0.16999999999999998,0.33999999999999997
Helicopter,0.4699999999999999,0.3
House,0.14666666666666667,0.14193548387096772
HumanHead,0.6966666666666667,0.418
Humanoid,0.6733333333333332,0.14744525547445256
Insect,0.12333333333333334,0.056060606060606054
Jet,0.62,0.1300699300699301
Knife,0.14333333333333334,0.1653846153846154
MilitaryVehicle,0.06190476190476191,0.26530612244897955
Monitor,0.10999999999999999,0.17368421052631577
Monoplane,0.19,0.28500000000000003
Motorcycle,0.13999999999999999,0.24705882352941178
Mug,0.2533333333333333,0.29230769230769227
MultiSeat,0.30999999999999994,0.21136363636363636
Musical_Instrument,0.16999999999999998,0.3
NonWheelChair,0.5266666666666666,0.2633333333333333
PianoBoard,0.14000000000000004,0.22105263157894733
PlantIndoors,0.11000000000000001,0.1
PlantWildNonTree,0.04666666666666666,0.0875
Quadruped,0.31,0.1690909090909091
RectangleTable,0.23333333333333334,0.11111111111111108
Rocket,0.16,0.24000000000000005
RoundTable,0.17000000000000004,0.13783783783783785
Shelf,0.4699999999999999,0.327906976744186
Ship,0.11333333333333333,0.0576271186440678
Sign,0.08333333333333333,0.16666666666666666
Skyscraper,0.041666666666666664,0.15625
Spoon,0.15,0.22499999999999995
Starship,0.12666666666666668,0.13103448275862067
SubmachineGun,0.14666666666666667,0.24444444444444446
Sword,0.36999999999999994,0.21346153846153845
Tool,0.3866666666666667,0.2636363636363636
Train,0.07666666666666666,0.09583333333333333
Tree,0.21333333333333337,0.24615384615384622
Truck,0.14999999999999997,0.19565217391304346
TruckNonContainer,0.056666666666666664,0.1214285714285714
Vase,0.06999999999999999,0.10500000000000002
Violin,0.15,0.2647058823529412
Wheel,0.09333333333333332,0.1647058823529412
WheelChair,0.20666666666666664,0.31
