,Precision,Recall
AircraftBuoyant,0.07586206896551724,0.1375
Apartment,0.07241379310344827,0.1909090909090909
AquaticAnimal,0.17241379310344826,0.17241379310344826
Bed,0.16551724137931037,0.1846153846153846
Bicycle,0.3068965517241379,0.6846153846153846
Biplane,0.2689655172413793,0.20526315789473681
Bird,0.25862068965517243,0.17045454545454544
Bookset,0.12413793103448274,0.2
Bottle,0.25172413793103454,0.2354838709677419
BuildingNonResidential,0.08275862068965517,0.05853658536585367
Bus,0.058620689655172406,0.14166666666666666
Car,0.3931034482758621,0.15200000000000002
Cellphone,0.24827586206896549,0.3789473684210526
Chess,0.3413793103448276,0.2605263157894736
City,0.05517241379310345,0.08421052631578947
ClassicPiano,0.1,0.18125
Computer,0.19655172413793104,0.18387096774193548
ComputerKeyboard,0.20689655172413798,0.3157894736842105
Cup,0.24137931034482757,0.2333333333333333
DeskLamp,0.17586206896551723,0.16999999999999998
DeskPhone,0.07241379310344827,0.13125
Door,0.2103448275862069,0.1386363636363636
Drum,0.09655172413793103,0.14
Fish,0.3793103448275862,0.55
FloorLamp,0.13448275862068965,0.14444444444444443
Glasses,0.4896551724137931,0.7100000000000001
Guitar,0.14827586206896554,0.2529411764705882
Gun,0.3793103448275862,0.2
Hand,0.296551724137931,0.23243243243243245
Hat,0.17241379310344826,0.33333333333333337
Helicopter,0.47586206896551725,0.2936170212765957
House,0.15172413793103445,0.14193548387096772
HumanHead,0.6896551724137931,0.4
Humanoid,0.6931034482758621,0.14671532846715327
Insect,0.12413793103448274,0.05454545454545454
Jet,0.6206896551724138,0.1258741258741259
Knife,0.14827586206896554,0.16538461538461538
MilitaryVehicle,0.06403940886699508,0.26530612244897955
Monitor,0.1103448275862069,0.16842105263157894
Monoplane,0.18965517241379312,0.275
Motorcycle,0.15172413793103448,0.25882352941176473
Mug,0.2551724137931034,0.2846153846153846
MultiSeat,0.3172413793103448,0.20909090909090913
Musical_Instrument,0.17586206896551726,0.3
NonWheelChair,0.5517241379310345,0.26666666666666666
PianoBoard,0.1413793103448276,0.21578947368421053
PlantIndoors,0.11724137931034484,0.10303030303030303
PlantWildNonTree,0.04482758620689655,0.08125
Quadruped,0.31034482758620696,0.16363636363636364
RectangleTable,0.23793103448275862,0.1095238095238095
Rocket,0.1620689655172414,0.23500000000000001
RoundTable,0.17241379310344826,0.13513513513513514
Shelf,0.47586206896551725,0.32093023255813946
Ship,0.12068965517241378,0.05932203389830508
Sign,0.0896551724137931,0.1733333333333333
Skyscraper,0.04310344827586208,0.15625
Spoon,0.16551724137931034,0.24
Starship,0.12758620689655173,0.12758620689655173
SubmachineGun,0.15517241379310345,0.25
Sword,0.38965517241379316,0.21730769230769234
Tool,0.40344827586206894,0.26590909090909093
Train,0.07931034482758621,0.09583333333333333
Tree,0.2137931034482759,0.2384615384615385
Truck,0.14482758620689656,0.1826086956521739
TruckNonContainer,0.05862068965517242,0.1214285714285714
Vase,0.07586206896551724,0.11000000000000003
Violin,0.14827586206896554,0.2529411764705882
Wheel,0.1,0.17058823529411765
WheelChair,0.20689655172413796,0.3
